"time","reference","prediction"
0.092,-1.4282560444896968,-1.4185147109501872
0.094,-1.4114517395168067,-1.4011724405197166
0.096,-1.394571464793247,-1.3837992116109645
0.098,-1.3776234205503597,-1.366405609412436
0.1,-1.360615871041237,-1.3490021646870465
0.102,-1.3435571397062287,-1.3315993409768594
0.104,-1.3264556042976459,-1.3142075221650487
0.106,-1.3093196919666954,-1.2968370004292735
0.108,-1.292157874315677,-1.2794979646184832
0.11,-1.2749786624185175,-1.2622004890828857
0.112,-1.2577906018127196,-1.2449545229843588
0.114,-1.2406022674658408,-1.2277698801120478
0.116,-1.2234222587196149,-1.210656229225231
0.118,-1.2062591942148595,-1.1936230849428355
0.12,-1.1891217068003124,-1.176679799196207
0.122,-1.172018438428565,-1.1598355532589517
0.124,-1.1549580350422517,-1.1430993503648632
0.126,-1.137949141453681,-1.1264800089221558
0.128,-1.121000396221079,-1.1099861563294808
0.13,-1.1041204265246374,-1.0936262233964835
0.132,-1.0873178430455415,-1.0774084393690289
0.134,-1.0706012348511682,-1.0613408275566667
0.136,-1.053979164289629,-1.0454312015574487
0.138,-1.0374601618968342,-1.0296871620728645
0.14,-1.021052721319243,-1.0141160943034424
0.142,-1.0047652942554612,-0.9987251659134573
0.144,-0.9886062854198285,-0.9835213255512454
0.146,-0.972584047531134,-0.9685113019098155
0.148,-0.9567068763295739,-0.9537016033107844
0.15,-0.9409830056250525,-0.9390985177931652
0.152,-0.9254206023799147,-0.9247081136872013
0.154,-0.9100277618291608,-0.9105362406522295
0.156,-0.8948125026411933,-0.8965885311565491
0.158,-0.879782762122098,-0.8828704023763729
0.16,-0.864946391466456,-0.8693870584902259
0.162,-0.850311151057638,-0.8561434933445686
0.164,-0.8358847058205074,-0.8431444934659873
0.166,-0.8216746206294367,-0.8303946413949912
0.168,-0.807688355774484,-0.8178983193162852
0.17,-0.7939332624885697,-0.8056597129603378
0.172,-0.7804165785384297,-0.7936828157511244
0.174,-0.7671454238820941,-0.7819714331751013
0.176,-0.7541267963956089,-0.7705291873467466
0.178,-0.7413675676716474,-0.7593595217463394
0.18,-0.7288744788926451,-0.7484657061061233
0.182,-0.716654136781024,-0.7378508414214933
0.184,-0.704713009629029,-0.7275178650644336
0.186,-0.6930574234106626,-0.7174695559770876
0.188,-0.6816935579781283,-0.7077085399239964
0.19,-0.6706274433451687,-0.6982372947823081
0.192,-0.6598649560596028,-0.689058155849996
0.194,-0.649411815667339,-0.6801733211529255
0.196,-0.6392735812700563,-0.6715848567324203
0.198,-0.62945564817871,-0.6632947018957971
0.2,-0.6199632446649495,-0.655304674413173
0.202,-0.6108014288124648,-0.6476164756446856
0.204,-0.6019750854702414,-0.6402316955831031
0.206,-0.5934889233096114,-0.6331518177976139
0.208,-0.5853474719869453,-0.6263782242654259
0.21,-0.5775550794137527,-0.6199122000785802
0.212,-0.5701159091358912,-0.6137549380141978
0.214,-0.5630339378235258,-0.6079075429571215
0.216,-0.5563129528734054,-0.6023710361646772
0.218,-0.5499565501249415,-0.5971463593639896
0.22,-0.5439681316915302,-0.5922343786729884
0.222,-0.5383509039084602,-0.587635888336919
0.224,-0.533107875398694,-0.5833516142728066
0.226,-0.5282418552577215,-0.5793822174149459
0.228,-0.5237554513586316,-0.5757282968550896
0.23,-0.5196510687784455,-0.5723903927715628
0.232,-0.5159309083467072,-0.569368989142081
0.234,-0.5125969653172264,-0.5666645162355668
0.236,-0.509651028163811,-0.5642773528787459
0.238,-0.5070946775007361,-0.562207828493789
0.24,-0.5049292851286254,-0.5604562249037028
0.242,-0.5031560132063411,-0.55902277790262
0.244,-0.5017758135493985,-0.5579076785885424
0.246,-0.5007894270553412,-0.5571110744565055
0.248,-0.5001973832564419,-0.5566330702505033
0.25,-0.5,-0.5564737285729124
0.252,-0.5001973832564419,-0.5566330702505033
0.254,-0.5007894270553412,-0.5571110744565055
0.256,-0.5017758135493985,-0.5579076785885424
0.258,-0.5031560132063411,-0.55902277790262
0.26,-0.5049292851286254,-0.5604562249037028
0.262,-0.5070946775007361,-0.562207828493789
0.264,-0.509651028163811,-0.5642773528787459
0.266,-0.5125969653172264,-0.5666645162355668
0.268,-0.5159309083467072,-0.569368989142081
0.27,-0.5196510687784456,-0.572390392771563
0.272,-0.5237554513586316,-0.5757282968550896
0.274,-0.5282418552577215,-0.5793822174149461
0.276,-0.533107875398694,-0.5833516142728066
0.278,-0.5383509039084602,-0.587635888336919
0.28,-0.5439681316915302,-0.5922343786729884
0.282,-0.5499565501249415,-0.5971463593639896
0.284,-0.5563129528734054,-0.6023710361646772
0.286,-0.5630339378235258,-0.6079075429571212
0.288,-0.5701159091358906,-0.6137549380141973
0.29,-0.5775550794137525,-0.61991220007858
0.292,-0.5853474719869451,-0.6263782242654257
0.294,-0.593488923309611,-0.6331518177976136
0.296,-0.601975085470241,-0.6402316955831029
0.298,-0.6108014288124646,-0.6476164756446852
0.3,-0.6199632446649495,-0.6553046744131727
0.302,-0.62945564817871,-0.6632947018957971
0.304,-0.639273581270056,-0.6715848567324201
0.306,-0.6494118156673387,-0.6801733211529253
0.308,-0.6598649560596028,-0.6890581558499957
0.31,-0.6706274433451684,-0.6982372947823079
0.312,-0.6816935579781283,-0.7077085399239964
0.314,-0.6930574234106622,-0.7174695559770874
0.316,-0.7047130096290288,-0.7275178650644334
0.318,-0.716654136781024,-0.7378508414214933
0.32,-0.7288744788926456,-0.7484657061061235
0.322,-0.7413675676716469,-0.7593595217463387
0.324,-0.7541267963956084,-0.7705291873467459
0.326,-0.7671454238820937,-0.7819714331751011
0.328,-0.7804165785384292,-0.7936828157511242
0.33,-0.79393326248857,-0.8056597129603384
0.332,-0.807688355774484,-0.8178983193162852
0.334,-0.8216746206294364,-0.830394641394991
0.336,-0.8358847058205077,-0.8431444934659875
0.338,-0.8503111510576382,-0.8561434933445691
